Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
10/03/2004,18.00.00,26.0,1360.0,119.0,1046.0,166.0,1056.0,113.0,1692.0,1268.0,136.0,489.0,7578.0
10/03/2004,19.00.00,2.0,1292.0,94.0,955.0,103.0,1174.0,92.0,1559.0,972.0,133.0,477.0,7255.0
10/03/2004,20.00.00,22.0,1402.0,90.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,119.0,540.0,7502.0
10/03/2004,21.00.00,22.0,1376.0,92.0,948.0,172.0,1092.0,122.0,1584.0,1203.0,110.0,600.0,7867.0
10/03/2004,22.00.00,16.0,1272.0,65.0,836.0,131.0,1205.0,116.0,1490.0,1110.0,112.0,596.0,7888.0
10/03/2004,23.00.00,12.0,1197.0,47.0,750.0,89.0,1337.0,96.0,1393.0,949.0,112.0,592.0,7848.0
11/03/2004,00.00.00,12.0,1185.0,36.0,690.0,62.0,1462.0,77.0,1333.0,733.0,113.0,568.0,7603.0
11/03/2004,01.00.00,1.0,1136.0,33.0,672.0,62.0,1453.0,76.0,1333.0,730.0,107.0,600.0,7702.0
11/03/2004,02.00.00,9.0,1094.0,23.0,609.0,45.0,1579.0,60.0,1276.0,620.0,107.0,597.0,7648.0
11/03/2004,03.00.00,6.0,1010.0,17.0,561.0,33.0,1705.0,47.0,1235.0,501.0,103.0,602.0,7517.0
11/03/2004,04.00.00,6.5,1011.0,13.0,527.0,21.0,1818.0,34.0,1197.0,445.0,101.0,605.0,7465.0
11/03/2004,05.00.00,7.0,1066.0,11.0,512.0,16.0,1918.0,28.0,1182.0,422.0,110.0,562.0,7366.0
11/03/2004,06.00.00,7.0,1052.0,16.0,553.0,34.0,1738.0,48.0,1221.0,472.0,105.0,581.0,7353.0
11/03/2004,07.00.00,11.0,1144.0,32.0,667.0,98.0,1490.0,82.0,1339.0,730.0,102.0,596.0,7417.0
11/03/2004,08.00.00,2.0,1333.0,80.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,108.0,574.0,7408.0
11/03/2004,09.00.00,22.0,1351.0,95.0,960.0,129.0,1079.0,101.0,1583.0,1028.0,105.0,606.0,7691.0
11/03/2004,10.00.00,17.0,1233.0,63.0,827.0,112.0,1218.0,98.0,1446.0,860.0,108.0,584.0,7552.0
11/03/2004,11.00.00,15.0,1179.0,50.0,762.0,95.0,1328.0,92.0,1362.0,671.0,105.0,579.0,7352.0
11/03/2004,12.00.00,16.0,1236.0,52.0,774.0,104.0,1301.0,95.0,1401.0,664.0,95.0,668.0,7951.0
11/03/2004,13.00.00,19.0,1286.0,73.0,869.0,146.0,1162.0,112.0,1537.0,799.0,83.0,764.0,8393.0
11/03/2004,14.00.00,29.0,1371.0,115.0,1034.0,207.0,983.0,128.0,1730.0,1037.0,80.0,811.0,8736.0
11/03/2004,15.00.00,22.0,1310.0,88.0,933.0,184.0,1082.0,126.0,1647.0,946.0,83.0,798.0,8778.0
11/03/2004,16.00.00,22.0,1292.0,83.0,912.0,193.0,1103.0,131.0,1591.0,957.0,97.0,712.0,8569.0
11/03/2004,17.00.00,29.0,1383.0,112.0,1020.0,243.0,1008.0,135.0,1719.0,1104.0,98.0,676.0,8185.0
11/03/2004,18.00.00,48.0,1581.0,208.0,1319.0,281.0,799.0,151.0,2083.0,1409.0,103.0,642.0,8065.0
11/03/2004,19.00.00,69.0,1776.0,274.0,1488.0,383.0,702.0,172.0,2333.0,1704.0,97.0,693.0,8319.0
11/03/2004,20.00.00,61.0,1640.0,240.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,96.0,678.0,8133.0
11/03/2004,21.00.00,39.0,1313.0,128.0,1076.0,240.0,957.0,136.0,1707.0,1285.0,91.0,640.0,7419.0
11/03/2004,22.00.00,15.0,965.0,47.0,749.0,94.0,1325.0,85.0,1333.0,821.0,82.0,634.0,6905.0
11/03/2004,23.00.00,1.0,913.0,26.0,629.0,47.0,1565.0,53.0,1252.0,552.0,82.0,608.0,6657.0
12/03/2004,00.00.00,17.0,1080.0,59.0,805.0,122.0,1254.0,97.0,1375.0,816.0,83.0,585.0,6438.0
12/03/2004,01.00.00,19.0,1044.0,64.0,829.0,133.0,1247.0,110.0,1378.0,832.0,77.0,597.0,6308.0
12/03/2004,02.00.00,14.0,988.0,41.0,718.0,82.0,1396.0,91.0,1304.0,692.0,71.0,618.0,6276.0
12/03/2004,03.00.00,8.0,889.0,19.0,574.0,51.5,1680.0,61.5,1187.0,512.0,70.0,623.0,6261.0
12/03/2004,04.00.00,7.0,831.0,11.0,506.0,21.0,1893.0,32.0,1134.0,384.0,61.0,659.0,6248.0
12/03/2004,05.00.00,6.0,847.0,10.0,501.0,30.0,1895.0,44.0,1155.0,394.0,63.0,650.0,6233.0
12/03/2004,06.00.00,8.0,927.0,18.0,571.0,56.0,1685.0,71.0,1223.0,487.0,68.0,629.0,6234.0
12/03/2004,07.00.00,14.0,1091.0,44.0,730.0,109.0,1387.0,104.0,1361.0,748.0,64.0,651.0,6316.0
12/03/2004,08.00.00,44.0,1587.0,179.0,1236.0,307.0,897.0,141.0,1900.0,1400.0,73.0,631.0,6499.0
12/03/2004,09.00.00,37.5,1545.0,221.0,1353.0,247.0,767.0,131.5,2058.0,1588.0,92.0,562.0,6561.0
12/03/2004,10.00.00,31.0,1350.0,140.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,132.0,417.0,6320.0
12/03/2004,11.00.00,27.0,1263.0,116.0,1037.0,216.0,969.0,143.0,1598.0,1167.0,143.0,384.0,6243.0
12/03/2004,12.00.00,21.0,1206.0,102.0,986.0,143.0,1035.0,113.0,1537.0,959.0,150.0,365.0,6195.0
12/03/2004,13.00.00,25.0,1252.0,110.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,161.0,345.0,6262.0
12/03/2004,14.00.00,27.0,1287.0,128.0,1078.0,163.0,949.0,123.0,1660.0,1061.0,163.0,357.0,6560.0
12/03/2004,15.00.00,29.0,1353.0,142.0,1122.0,190.0,922.0,126.0,1740.0,1139.0,158.0,370.0,6610.0
12/03/2004,16.00.00,28.0,1309.0,127.0,1073.0,178.0,954.0,120.0,1657.0,1112.0,159.0,372.0,6657.0
12/03/2004,17.00.00,24.0,1274.0,117.0,1041.0,150.0,1006.0,119.0,1610.0,994.0,169.0,343.0,6549.0
12/03/2004,18.00.00,39.0,1510.0,193.0,1277.0,206.0,812.0,149.0,1910.0,1410.0,151.0,396.0,6766.0
12/03/2004,19.00.00,37.0,1525.0,182.0,1246.0,202.0,821.0,145.0,1847.0,1448.0,144.0,434.0,7084.0
12/03/2004,20.00.00,66.0,1843.0,326.0,1610.0,340.0,624.0,170.0,2390.0,1887.0,129.0,505.0,7478.0
12/03/2004,21.00.00,44.0,1598.0,201.0,1299.0,274.0,752.0,149.0,1941.0,1627.0,121.0,533.0,7536.0
12/03/2004,22.00.00,35.0,1484.0,143.0,1127.0,253.0,839.0,139.0,1723.0,1491.0,110.0,591.0,7740.0
12/03/2004,23.00.00,54.0,1677.0,218.0,1346.0,300.0,741.0,134.0,2062.0,1657.0,97.0,646.0,7771.0
13/03/2004,00.00.00,27.0,1280.0,96.0,964.0,193.0,963.0,113.0,1544.0,1285.0,95.0,641.0,7597.0
13/03/2004,01.00.00,19.0,1196.0,74.0,873.0,139.0,1071.0,97.0,1463.0,1144.0,91.0,639.0,7423.0
13/03/2004,02.00.00,16.0,1184.0,54.0,782.0,83.0,1176.0,82.0,1365.0,1043.0,88.0,639.0,7256.0
13/03/2004,03.00.00,17.0,1172.0,54.0,783.0,96.0,1179.0,82.5,1380.0,996.0,78.0,675.0,7173.0
13/03/2004,04.00.00,9.0,1147.0,62.0,821.0,109.0,1132.0,83.0,1412.0,992.0,70.0,711.0,7158.0
13/03/2004,05.00.00,1.0,978.0,26.0,625.0,62.0,1420.0,65.0,1274.0,819.0,83.0,636.0,6982.0
13/03/2004,06.00.00,12.0,1100.0,29.0,646.0,53.0,1406.0,60.0,1268.0,835.0,72.0,675.0,6887.0
13/03/2004,07.00.00,15.0,1112.0,51.0,770.0,139.0,1228.0,77.0,1409.0,940.0,63.0,719.0,6932.0
13/03/2004,08.00.00,27.0,1336.0,118.0,1043.0,256.0,935.0,96.0,1678.0,1192.0,65.0,716.0,6945.0
13/03/2004,09.00.00,37.0,1408.0,151.0,1153.0,295.0,830.0,119.0,1777.0,1411.0,96.0,597.0,7124.0
13/03/2004,10.00.00,32.0,1447.0,129.0,1081.0,250.0,869.0,126.0,1667.0,1465.0,124.0,512.0,7335.0
13/03/2004,11.00.00,41.0,1542.0,161.0,1184.0,296.0,808.0,158.0,1780.0,1583.0,156.0,422.0,7451.0
13/03/2004,12.00.00,36.0,1451.0,140.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,184.0,338.0,7090.0
13/03/2004,13.00.00,28.0,1328.0,123.0,1059.0,153.0,987.0,124.0,1600.0,1101.0,194.0,313.0,6950.0
13/03/2004,14.00.00,2.0,1207.0,86.0,924.0,118.0,1088.0,102.0,1488.0,850.0,180.0,348.0,7127.0
13/03/2004,15.00.00,2.0,1240.0,92.0,947.0,119.0,1049.0,116.0,1532.0,947.0,184.0,336.0,7042.0
13/03/2004,16.00.00,25.0,1306.0,102.0,987.0,138.0,1004.0,124.0,1554.0,1078.0,176.0,351.0,7012.0
13/03/2004,17.00.00,23.0,1326.0,106.0,1000.0,148.0,976.0,125.0,1602.0,1084.0,167.0,378.0,7117.0
13/03/2004,18.00.00,32.0,1473.0,155.0,1163.0,227.0,831.0,148.0,1779.0,1395.0,161.0,410.0,7451.0
13/03/2004,19.00.00,42.0,1609.0,196.0,1286.0,277.0,758.0,165.0,1922.0,1612.0,158.0,424.0,7569.0
13/03/2004,20.00.00,42.0,1611.0,192.0,1274.0,279.0,754.0,161.0,1915.0,1697.0,157.0,441.0,7786.0
13/03/2004,21.00.00,42.0,1621.0,183.0,1247.0,283.0,762.0,159.0,1860.0,1886.0,153.0,468.0,8091.0
13/03/2004,22.00.00,31.0,1444.0,131.0,1089.0,214.0,844.0,143.0,1748.0,1624.0,146.0,486.0,8060.0
13/03/2004,23.00.00,26.0,1418.0,109.0,1010.0,172.0,892.0,130.0,1603.0,1536.0,147.0,493.0,8193.0
14/03/2004,00.00.00,29.0,1534.0,110.0,1013.0,190.0,889.0,129.0,1611.0,1535.0,139.0,536.0,8498.0
14/03/2004,01.00.00,28.0,1484.0,119.0,1045.0,174.0,880.0,119.0,1624.0,1530.0,146.0,515.0,8536.0
14/03/2004,02.00.00,25.0,1367.0,86.0,925.0,128.0,953.0,104.0,1543.0,1337.0,125.0,589.0,8537.0
14/03/2004,03.00.00,24.0,1344.0,97.0,968.0,99.0,921.0,93.0,1620.0,1278.0,116.0,634.0,8674.0
14/03/2004,04.00.00,18.0,1130.0,52.0,773.0,70.0,1130.0,82.0,1452.0,1051.0,121.0,611.0,8603.0
14/03/2004,05.00.00,12.0,1062.0,37.0,691.0,53.0,1272.0,70.0,1377.0,929.0,115.0,631.0,8533.0
14/03/2004,06.00.00,1.0,1076.0,25.0,618.0,44.0,1395.0,63.0,1333.0,872.0,116.0,622.0,8473.0
14/03/2004,07.00.00,9.0,1028.0,24.0,615.0,74.0,1384.0,67.0,1340.0,853.0,104.0,676.0,8530.0
14/03/2004,08.00.00,14.0,1155.0,42.0,722.0,101.0,1225.0,84.0,1414.0,959.0,116.0,627.0,8530.0
14/03/2004,09.00.00,16.0,1235.0,64.0,828.0,118.0,1055.0,83.0,1527.0,1093.0,124.0,600.0,8627.0
14/03/2004,10.00.00,22.0,1332.0,86.0,923.0,144.0,952.0,98.0,1614.0,1225.0,145.0,531.0,8728.0
